filename,Ground_Truth,Kaldi_Hypothesis,PocketSphinx_Hypothesis,DeepSpeech_Hypothesis,Kaldi_WER,Kaldi_MER,Kaldi_WIL,PocketSphinx_WER,PocketSphinx_MER,PocketSphinx_WIL,DeepSpeech_WER,DeepSpeech_MER,DeepSpeech_WIL
common_voice_en_124764,Never mind about that.,never mind about that,never mind about them,never mind about that,0.0,0.0,0.0,0.25,0.25,0.4375,0.0,0.0,0.0
common_voice_en_17273358,"No, you cannot have that lollipop.",no you cannot have a lollipop,no you cannot have what open,no you cannot have not one,0.16666666666666666,0.16666666666666666,0.30555555555555547,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.5555555555555556
common_voice_en_17274203,Now where could my pipe be?,now where could my pipe be,now where a group led by the,now where my fine,0.0,0.0,0.0,0.8333333333333334,0.7142857142857143,0.9047619047619048,0.5,0.5,0.625
common_voice_en_147991,The article would benefit from examples demonstrating the dataset weighting.,the article would benefit from examples demonstrating the dataset waiting,got to her what innocent home examples demonstrating that it has been ching,the article would benefit from example demonstrating the data said waiting,0.1,0.1,0.18999999999999995,1.1,0.8461538461538461,0.9692307692307692,0.4,0.36363636363636365,0.5545454545454546
common_voice_en_131823,Leave no stone unturned.,the,they hit it and,latitude,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
common_voice_en_124763,Playing the market with the company's money?,playing the market with the company's money ,then the market with the company's money,playing the market with the company's money,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.26530612244897966,0.0,0.0,0.0
common_voice_en_159180,He didn't need to demonstrate his science and art to anyone.,he didn't need to demonstrate his science and art to anyone,newt many glucose where's his eyes and arms you know,i didn't mean to dance with science and art anyone,0.0,0.0,0.0,0.8181818181818182,0.8181818181818182,0.9636363636363636,0.45454545454545453,0.45454545454545453,0.6727272727272728
common_voice_en_17843148,Grumbling makes the loaf no larger.,grumbling makes the loaf no larger,grumbling makes the loaf no larger,grumbling makes the low no larger,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.30555555555555547
common_voice_en_150924,The Italian got her words mixed up.,the italian got her words mixed up,they don't him or her lips winslow,the daring events which the,0.0,0.0,0.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.9714285714285714
common_voice_en_153527,party of six this week in Oman,party of six this weekend man,rich sexes regional not,party of six this week an amount,0.42857142857142855,0.42857142857142855,0.6190476190476191,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.4897959183673469
